output,fattore,mu,mu_star,sigma,n_ee
E[Hydrogen combustion]@100nmi_450kt_fan,oew_prop_r_pivot,0.0,0.0,0.0,20
E[Hydrogen combustion]@100nmi_450kt_fan,calibration_block,0.10491329445965573,0.13540335276703633,0.1673418814111928,20
E[Hydrogen combustion]@1500nmi_450kt_fan,e_battery_Wh_per_kg,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_450kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_450kt_fan,eta_fuel_cell,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_450kt_fan,gamma_tank,-0.17445906738973388,0.17445906738973388,0.04807055882087015,20
E[Hydrogen combustion]@1500nmi_450kt_fan,electricity,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_450kt_fan,liquid_hydrogen,-0.23983624596283373,0.23983624596283373,0.07877593523947048,20
E[Hydrogen combustion]@1500nmi_450kt_fan,e_saf,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_450kt_fan,eta_motor,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_450kt_fan,eta_p_propeller,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_450kt_fan,eta_p_fan,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_450kt_fan,oew_fan_b,0.4304490415239444,0.4304490415239444,0.08205603857999567,20
E[Hydrogen combustion]@1500nmi_450kt_fan,oew_fan_r_pivot,0.38386292116283777,0.38386292116283777,0.1791762042682757,20
E[Hydrogen combustion]@1500nmi_450kt_fan,oew_prop_b,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_450kt_fan,oew_prop_r_pivot,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_450kt_fan,calibration_block,0.047538334479951136,0.07524657870534784,0.09082699634627686,20
E[Hydrogen combustion]@6000nmi_450kt_fan,e_battery_Wh_per_kg,0.0,0.0,0.0,20
E[Hydrogen combustion]@6000nmi_450kt_fan,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,20
E[Hydrogen combustion]@6000nmi_450kt_fan,eta_fuel_cell,0.0,0.0,0.0,20
E[Hydrogen combustion]@6000nmi_450kt_fan,gamma_tank,-0.4493907831648908,0.4493907831648908,0.19225581019073454,20
E[Hydrogen combustion]@6000nmi_450kt_fan,electricity,0.0,0.0,0.0,20
E[Hydrogen combustion]@6000nmi_450kt_fan,liquid_hydrogen,-0.239214136392165,0.239214136392165,0.08845829553966003,20
E[Hydrogen combustion]@6000nmi_450kt_fan,e_saf,0.0,0.0,0.0,20
E[Hydrogen combustion]@6000nmi_450kt_fan,eta_motor,0.0,0.0,0.0,20
E[Hydrogen combustion]@6000nmi_450kt_fan,eta_p_propeller,0.0,0.0,0.0,20
E[Hydrogen combustion]@6000nmi_450kt_fan,eta_p_fan,0.0,0.0,0.0,20
E[Hydrogen combustion]@6000nmi_450kt_fan,oew_fan_b,-0.784463191649359,0.784463191649359,0.3464369994019107,20
E[Hydrogen combustion]@6000nmi_450kt_fan,oew_fan_r_pivot,0.457553236407999,0.457553236407999,0.24826183026207693,20
E[Hydrogen combustion]@6000nmi_450kt_fan,oew_prop_b,0.0,0.0,0.0,20
E[Hydrogen combustion]@6000nmi_450kt_fan,oew_prop_r_pivot,0.0,0.0,0.0,20
E[Hydrogen combustion]@6000nmi_450kt_fan,calibration_block,0.044819171800619936,0.07364900707016257,0.08941524922971936,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,e_battery_Wh_per_kg,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,fuel_cell_specific_power_kW_per_kg,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,eta_fuel_cell,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,gamma_tank,-0.34945602489177147,0.34945602489177147,0.08925983202286347,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,electricity,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,liquid_hydrogen,-0.3617805959954693,0.3617805959954693,0.12316384912147725,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,e_saf,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,eta_motor,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,eta_p_propeller,-0.4405586133680638,0.4405586133680638,0.13275948744410318,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,eta_p_fan,0.0,0.0,0.0,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,oew_fan_b,0.501229628193622,0.501229628193622,0.14781488945086993,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,oew_fan_r_pivot,0.4909136682549741,0.4909136682549741,0.320952253889864,20
E[Hydrogen combustion]@1500nmi_250kt_propeller,oew_prop_b,-0.11315261821693409,0.11315261821693409,0.0882805157186638,20
